COLUMN_NAME	DATA_TYPE	DATA_LENGTH	DATA_PRECISION	DATA_SCALE	NULLABLE	TABLE_NAME	COLUMN_ID
LOG_ID	NUMBER	22	12	0	N	BILLING_AUDIT_LOG	1
LOGGED_AT	DATE	7			N	BILLING_AUDIT_LOG	2
MODULE	VARCHAR2	30			Y	BILLING_AUDIT_LOG	3
MESSAGE	VARCHAR2	4000			Y	BILLING_AUDIT_LOG	4
CODE_TYPE	VARCHAR2	30			N	CODES	1
CODE_VAL	NUMBER	22	4	0	N	CODES	2
CODE_DESC	VARCHAR2	80			N	CODES	3
ID	VARCHAR2	36			N	CREDIT_NOTES	1
TENANT_ID	VARCHAR2	36			N	CREDIT_NOTES	2
ISSUED_ON	DATE	7			N	CREDIT_NOTES	3
AMOUNT	NUMBER	22	12	2	N	CREDIT_NOTES	4
REMAINING_AMOUNT	NUMBER	22	12	2	N	CREDIT_NOTES	5
CUST_ID	VARCHAR2	36			N	CUSTOMER_MASTER	1
CUST_SEQ_NO	NUMBER	22	12	0	Y	CUSTOMER_MASTER	2
TENANT_ID	VARCHAR2	36			Y	CUSTOMER_MASTER	3
CUST_NO	VARCHAR2	20			Y	CUSTOMER_MASTER	4
CUST_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER	5
CUST_NAME_UPPER	VARCHAR2	200			Y	CUSTOMER_MASTER	6
LEGAL_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER	7
DBA_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER	8
ADDR_LINE_1	VARCHAR2	120			Y	CUSTOMER_MASTER	9
ADDR_LINE_2	VARCHAR2	120			Y	CUSTOMER_MASTER	10
ADDR_LINE_3	VARCHAR2	120			Y	CUSTOMER_MASTER	11
ADDR_LINE_4	VARCHAR2	120			Y	CUSTOMER_MASTER	12
ADDR_LINE_5	VARCHAR2	120			Y	CUSTOMER_MASTER	13
ADDR_LINE_6	VARCHAR2	120			Y	CUSTOMER_MASTER	14
CITY	VARCHAR2	80			Y	CUSTOMER_MASTER	15
STATE_CD	VARCHAR2	4			Y	CUSTOMER_MASTER	16
ZIP	VARCHAR2	12			Y	CUSTOMER_MASTER	17
ZIP4	VARCHAR2	6			Y	CUSTOMER_MASTER	18
COUNTRY_CD	VARCHAR2	4			Y	CUSTOMER_MASTER	19
MAIL_ADDR_LINE_1	VARCHAR2	120			Y	CUSTOMER_MASTER	20
MAIL_ADDR_LINE_2	VARCHAR2	120			Y	CUSTOMER_MASTER	21
MAIL_ADDR_LINE_3	VARCHAR2	120			Y	CUSTOMER_MASTER	22
MAIL_ADDR_LINE_4	VARCHAR2	120			Y	CUSTOMER_MASTER	23
MAIL_ADDR_LINE_5	VARCHAR2	120			Y	CUSTOMER_MASTER	24
MAIL_ADDR_LINE_6	VARCHAR2	120			Y	CUSTOMER_MASTER	25
MAIL_CITY	VARCHAR2	80			Y	CUSTOMER_MASTER	26
MAIL_STATE_CD	VARCHAR2	4			Y	CUSTOMER_MASTER	27
MAIL_ZIP	VARCHAR2	12			Y	CUSTOMER_MASTER	28
PHONE1	VARCHAR2	25			Y	CUSTOMER_MASTER	29
PHONE2	VARCHAR2	25			Y	CUSTOMER_MASTER	30
PHONE3	VARCHAR2	25			Y	CUSTOMER_MASTER	31
PHONE4	VARCHAR2	25			Y	CUSTOMER_MASTER	32
PHONE1_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	33
PHONE2_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	34
PHONE3_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	35
PHONE4_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	36
FAX	VARCHAR2	25			Y	CUSTOMER_MASTER	37
EMAIL_1	VARCHAR2	200			Y	CUSTOMER_MASTER	38
EMAIL_2	VARCHAR2	200			Y	CUSTOMER_MASTER	39
EMAIL_3	VARCHAR2	200			Y	CUSTOMER_MASTER	40
SIGNUP_DT	VARCHAR2	9			Y	CUSTOMER_MASTER	41
LAST_ACTIVITY_DT	VARCHAR2	9			Y	CUSTOMER_MASTER	42
LAST_INVOICE_DT	VARCHAR2	9			Y	CUSTOMER_MASTER	43
LAST_PAYMENT_DT	VARCHAR2	9			Y	CUSTOMER_MASTER	44
TERMINATE_DT	VARCHAR2	9			Y	CUSTOMER_MASTER	45
STATUS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	46
SUB_STATUS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	47
CUST_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	48
SEGMENT_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	49
REGION_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	50
TERRITORY_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	51
CHANNEL_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	52
RATE_CLASS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER	53
TAX_EXEMPT_YN	CHAR	1			Y	CUSTOMER_MASTER	54
CREDIT_HOLD_YN	CHAR	1			Y	CUSTOMER_MASTER	55
DUNNING_EXEMPT_YN	CHAR	1			Y	CUSTOMER_MASTER	56
VIP_YN	CHAR	1			Y	CUSTOMER_MASTER	57
CUR_BAL_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	58
PAST_DUE_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	59
YTD_BILLED_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	60
LTD_BILLED_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	61
YTD_PAID_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	62
CREDIT_LIMIT_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER	63
RELATED_ACCT_IDS	VARCHAR2	2000			Y	CUSTOMER_MASTER	64
CHILD_ACCT_IDS	VARCHAR2	2000			Y	CUSTOMER_MASTER	65
PROMO_CODES_CSV	VARCHAR2	1000			Y	CUSTOMER_MASTER	66
CONTACT_NOTES	VARCHAR2	4000			Y	CUSTOMER_MASTER	67
LEGACY_SYS_KEY	VARCHAR2	50			Y	CUSTOMER_MASTER	68
MAINFRAME_ACCT_NO	VARCHAR2	30			Y	CUSTOMER_MASTER	69
CONVERSION_BATCH_NO	NUMBER	22	8	0	Y	CUSTOMER_MASTER	70
FLAG_01	CHAR	1			Y	CUSTOMER_MASTER	71
FLAG_02	CHAR	1			Y	CUSTOMER_MASTER	72
FLAG_03	CHAR	1			Y	CUSTOMER_MASTER	73
FLAG_04	CHAR	1			Y	CUSTOMER_MASTER	74
FLAG_05	CHAR	1			Y	CUSTOMER_MASTER	75
FLAG_06	CHAR	1			Y	CUSTOMER_MASTER	76
FLAG_07	CHAR	1			Y	CUSTOMER_MASTER	77
FLAG_08	CHAR	1			Y	CUSTOMER_MASTER	78
FLAG_09	CHAR	1			Y	CUSTOMER_MASTER	79
FLAG_10	CHAR	1			Y	CUSTOMER_MASTER	80
FLAG_11	CHAR	1			Y	CUSTOMER_MASTER	81
FLAG_12	CHAR	1			Y	CUSTOMER_MASTER	82
FLAG_13	CHAR	1			Y	CUSTOMER_MASTER	83
FLAG_14	CHAR	1			Y	CUSTOMER_MASTER	84
FLAG_15	CHAR	1			Y	CUSTOMER_MASTER	85
FLAG_16	CHAR	1			Y	CUSTOMER_MASTER	86
FLAG_17	CHAR	1			Y	CUSTOMER_MASTER	87
FLAG_18	CHAR	1			Y	CUSTOMER_MASTER	88
FLAG_19	CHAR	1			Y	CUSTOMER_MASTER	89
FLAG_20	CHAR	1			Y	CUSTOMER_MASTER	90
UDF_01	VARCHAR2	100			Y	CUSTOMER_MASTER	91
UDF_02	VARCHAR2	100			Y	CUSTOMER_MASTER	92
UDF_03	VARCHAR2	100			Y	CUSTOMER_MASTER	93
