CONSTRAINT_NAME	CONSTRAINT_TYPE	TABLE_NAME	STATUS	R_CONSTRAINT_NAME	REF_TABLE	SEARCH_CONDITION_VC	COLS
SYS_C008749	C	BILLING_AUDIT_LOG	ENABLED			"""LOG_ID"" IS NOT NULL"	LOG_ID
SYS_C008750	C	BILLING_AUDIT_LOG	ENABLED			"""LOGGED_AT"" IS NOT NULL"	LOGGED_AT
PK_BILLING_AUDIT_LOG	P	BILLING_AUDIT_LOG	ENABLED				LOG_ID
SYS_C008652	C	CODES	ENABLED			"""CODE_TYPE"" IS NOT NULL"	CODE_TYPE
SYS_C008653	C	CODES	ENABLED			"""CODE_VAL"" IS NOT NULL"	CODE_VAL
SYS_C008654	C	CODES	ENABLED			"""CODE_DESC"" IS NOT NULL"	CODE_DESC
PK_CODES	P	CODES	ENABLED				CODE_TYPE,CODE_VAL
SYS_C008725	C	CREDIT_NOTES	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008726	C	CREDIT_NOTES	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008727	C	CREDIT_NOTES	ENABLED			"""ISSUED_ON"" IS NOT NULL"	ISSUED_ON
SYS_C008728	C	CREDIT_NOTES	ENABLED			"""AMOUNT"" IS NOT NULL"	AMOUNT
SYS_C008729	C	CREDIT_NOTES	ENABLED			"""REMAINING_AMOUNT"" IS NOT NULL"	REMAINING_AMOUNT
PK_CREDIT_NOTES	P	CREDIT_NOTES	ENABLED				ID
FK_CN_TENANT	R	CREDIT_NOTES	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
SYS_C008754	C	CUSTOMER_MASTER	ENABLED			"""CUST_ID"" IS NOT NULL"	CUST_ID
PK_CUSTOMER_MASTER	P	CUSTOMER_MASTER	ENABLED				CUST_ID
SYS_C008756	C	CUSTOMER_MASTER_HIST	ENABLED			"""HIST_ID"" IS NOT NULL"	HIST_ID
PK_CUSTOMER_MASTER_HIST	P	CUSTOMER_MASTER_HIST	ENABLED				HIST_ID
SYS_C008732	C	DUNNING_ATTEMPTS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008733	C	DUNNING_ATTEMPTS	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008734	C	DUNNING_ATTEMPTS	ENABLED			"""INVOICE_ID"" IS NOT NULL"	INVOICE_ID
SYS_C008735	C	DUNNING_ATTEMPTS	ENABLED			"""ATTEMPT_NO"" IS NOT NULL"	ATTEMPT_NO
SYS_C008736	C	DUNNING_ATTEMPTS	ENABLED			"""SCHEDULED_FOR"" IS NOT NULL"	SCHEDULED_FOR
SYS_C008737	C	DUNNING_ATTEMPTS	ENABLED			"""STATUS_CD"" IS NOT NULL"	STATUS_CD
PK_DUNNING_ATTEMPTS	P	DUNNING_ATTEMPTS	ENABLED				ID
FK_DA_INVOICE	R	DUNNING_ATTEMPTS	ENABLED	PK_INVOICES	INVOICES		INVOICE_ID
FK_DA_TENANT	R	DUNNING_ATTEMPTS	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
UQ_DUNNING_ATTEMPTS	U	DUNNING_ATTEMPTS	ENABLED				INVOICE_ID,ATTEMPT_NO
SYS_C008758	C	ENTITY_ATTR_VALUE	ENABLED			"""EAV_ID"" IS NOT NULL"	EAV_ID
SYS_C008759	C	ENTITY_ATTR_VALUE	ENABLED			"""ENTITY_TYPE"" IS NOT NULL"	ENTITY_TYPE
SYS_C008760	C	ENTITY_ATTR_VALUE	ENABLED			"""ENTITY_ID"" IS NOT NULL"	ENTITY_ID
SYS_C008761	C	ENTITY_ATTR_VALUE	ENABLED			"""ATTR_NAME"" IS NOT NULL"	ATTR_NAME
PK_ENTITY_ATTR_VALUE	P	ENTITY_ATTR_VALUE	ENABLED				EAV_ID
SYS_C008767	C	FIXTURE_META	ENABLED			"""INITIALIZED_AT"" IS NOT NULL"	INITIALIZED_AT
SYS_C008705	C	INVOICES	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008706	C	INVOICES	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008707	C	INVOICES	ENABLED			"""PERIOD_ID"" IS NOT NULL"	PERIOD_ID
SYS_C008708	C	INVOICES	ENABLED			"""ISSUED_AT"" IS NOT NULL"	ISSUED_AT
SYS_C008709	C	INVOICES	ENABLED			"""SUBTOTAL"" IS NOT NULL"	SUBTOTAL
SYS_C008710	C	INVOICES	ENABLED			"""TAX"" IS NOT NULL"	TAX
SYS_C008711	C	INVOICES	ENABLED			"""TOTAL"" IS NOT NULL"	TOTAL
SYS_C008712	C	INVOICES	ENABLED			"""STATUS_CD"" IS NOT NULL"	STATUS_CD
PK_INVOICES	P	INVOICES	ENABLED				ID
FK_INV_PERIOD	R	INVOICES	ENABLED	PK_RATING_PERIODS	RATING_PERIODS		PERIOD_ID
FK_INV_TENANT	R	INVOICES	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
SYS_C008765	C	INVOICE_HEADER	ENABLED			"""INVOICE_ID"" IS NOT NULL"	INVOICE_ID
PK_INVOICE_HEADER	P	INVOICE_HEADER	ENABLED				INVOICE_ID
SYS_C008763	C	INVOICE_LINE	ENABLED			"""LINE_ID"" IS NOT NULL"	LINE_ID
PK_INVOICE_LINE	P	INVOICE_LINE	ENABLED				LINE_ID
SYS_C008716	C	INVOICE_LINES	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008717	C	INVOICE_LINES	ENABLED			"""INVOICE_ID"" IS NOT NULL"	INVOICE_ID
SYS_C008718	C	INVOICE_LINES	ENABLED			"""LINE_NO"" IS NOT NULL"	LINE_NO
SYS_C008719	C	INVOICE_LINES	ENABLED			"""LINE_TYPE"" IS NOT NULL"	LINE_TYPE
SYS_C008720	C	INVOICE_LINES	ENABLED			"""DESCRIPTION"" IS NOT NULL"	DESCRIPTION
SYS_C008721	C	INVOICE_LINES	ENABLED			"""AMOUNT"" IS NOT NULL"	AMOUNT
PK_INVOICE_LINES	P	INVOICE_LINES	ENABLED				ID
FK_IL_INVOICE	R	INVOICE_LINES	ENABLED	PK_INVOICES	INVOICES		INVOICE_ID
UQ_INVOICE_LINES	U	INVOICE_LINES	ENABLED				INVOICE_ID,LINE_NO
SYS_C008742	C	NOTIFICATIONS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008743	C	NOTIFICATIONS	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
