NAME	TYPE	REFERENCED_OWNER	REFERENCED_NAME	REFERENCED_TYPE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	DUNNING_ATTEMPTS	TABLE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	INVOICES	TABLE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	NOTIFICATIONS	TABLE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	PKG_DUNNING	PACKAGE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	PKG_OW_UTIL	PACKAGE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	SUBSCRIPTIONS	TABLE
PKG_DUNNING	PACKAGE BODY	OW_BILLING	TENANTS	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	CREDIT_NOTES	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	INVOICES	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	INVOICE_LINES	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	PKG_INVOICING	PACKAGE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	PKG_OW_UTIL	PACKAGE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	PKG_RATING	PACKAGE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	PLANS	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	SUBSCRIPTIONS	TABLE
PKG_INVOICING	PACKAGE BODY	OW_BILLING	TENANTS	TABLE
PKG_OW_UTIL	PACKAGE BODY	OW_BILLING	BILLING_AUDIT_LOG	TABLE
PKG_OW_UTIL	PACKAGE BODY	OW_BILLING	PKG_OW_UTIL	PACKAGE
PKG_PLANS	PACKAGE BODY	OW_BILLING	PKG_OW_UTIL	PACKAGE
PKG_PLANS	PACKAGE BODY	OW_BILLING	PKG_PLANS	PACKAGE
PKG_PLANS	PACKAGE BODY	OW_BILLING	PLANS	TABLE
PKG_PLANS	PACKAGE BODY	OW_BILLING	SUBSCRIPTIONS	TABLE
PKG_PLANS	PACKAGE BODY	OW_BILLING	TENANTS	TABLE
PKG_RATING	PACKAGE BODY	OW_BILLING	PKG_OW_UTIL	PACKAGE
PKG_RATING	PACKAGE BODY	OW_BILLING	PKG_RATING	PACKAGE
PKG_RATING	PACKAGE BODY	OW_BILLING	PLANS	TABLE
PKG_RATING	PACKAGE BODY	OW_BILLING	RATING_PERIODS	TABLE
PKG_RATING	PACKAGE BODY	OW_BILLING	RATING_RESULTS	TABLE
PKG_RATING	PACKAGE BODY	OW_BILLING	SUBSCRIPTIONS	TABLE
PKG_RATING	PACKAGE BODY	OW_BILLING	USAGE_EVENTS	TABLE
TRG_BILLING_AUDIT_LOG_ID	TRIGGER	OW_BILLING	BILLING_AUDIT_LOG	TABLE
TRG_BILLING_AUDIT_LOG_ID	TRIGGER	OW_BILLING	SEQ_BILLING_AUDIT_LOG	SEQUENCE
TRG_CUSTOMER_MASTER_HIST	TRIGGER	OW_BILLING	CUSTOMER_MASTER	TABLE
TRG_CUSTOMER_MASTER_HIST	TRIGGER	OW_BILLING	CUSTOMER_MASTER_HIST	TABLE
TRG_CUSTOMER_MASTER_HIST	TRIGGER	OW_BILLING	SEQ_CUSTOMER_MASTER_HIST	SEQUENCE
TRG_CUSTOMER_MASTER_SEQ	TRIGGER	OW_BILLING	CUSTOMER_MASTER	TABLE
TRG_CUSTOMER_MASTER_SEQ	TRIGGER	OW_BILLING	SEQ_CUSTOMER_MASTER	SEQUENCE
TRG_ENTITY_ATTR_VALUE_SEQ	TRIGGER	OW_BILLING	ENTITY_ATTR_VALUE	TABLE
TRG_ENTITY_ATTR_VALUE_SEQ	TRIGGER	OW_BILLING	SEQ_ENTITY_ATTR_VALUE	SEQUENCE
TRG_SUBSCRIPTIONS_HIST	TRIGGER	OW_BILLING	SEQ_SUBSCRIPTIONS_HIST	SEQUENCE
TRG_SUBSCRIPTIONS_HIST	TRIGGER	OW_BILLING	SUBSCRIPTIONS	TABLE
TRG_SUBSCRIPTIONS_HIST	TRIGGER	OW_BILLING	SUBSCRIPTIONS_HIST	TABLE
TRG_SUB_NO_UNCANCEL	TRIGGER	OW_BILLING	SUBSCRIPTIONS	TABLE
TRG_USAGE_EVENTS_CHECK	TRIGGER	OW_BILLING	CODES	TABLE
TRG_USAGE_EVENTS_CHECK	TRIGGER	OW_BILLING	USAGE_EVENTS	TABLE
