INDEX_NAME	TABLE_NAME	UNIQUENESS	INDEX_TYPE	STATUS	COLS
PK_BILLING_AUDIT_LOG	BILLING_AUDIT_LOG	UNIQUE	NORMAL	VALID	LOG_ID
PK_CODES	CODES	UNIQUE	NORMAL	VALID	CODE_TYPE,CODE_VAL
PK_CREDIT_NOTES	CREDIT_NOTES	UNIQUE	NORMAL	VALID	ID
PK_CUSTOMER_MASTER	CUSTOMER_MASTER	UNIQUE	NORMAL	VALID	CUST_ID
PK_CUSTOMER_MASTER_HIST	CUSTOMER_MASTER_HIST	UNIQUE	NORMAL	VALID	HIST_ID
PK_DUNNING_ATTEMPTS	DUNNING_ATTEMPTS	UNIQUE	NORMAL	VALID	ID
UQ_DUNNING_ATTEMPTS	DUNNING_ATTEMPTS	UNIQUE	NORMAL	VALID	INVOICE_ID,ATTEMPT_NO
PK_ENTITY_ATTR_VALUE	ENTITY_ATTR_VALUE	UNIQUE	NORMAL	VALID	EAV_ID
PK_INVOICES	INVOICES	UNIQUE	NORMAL	VALID	ID
PK_INVOICE_HEADER	INVOICE_HEADER	UNIQUE	NORMAL	VALID	INVOICE_ID
PK_INVOICE_LINE	INVOICE_LINE	UNIQUE	NORMAL	VALID	LINE_ID
PK_INVOICE_LINES	INVOICE_LINES	UNIQUE	NORMAL	VALID	ID
UQ_INVOICE_LINES	INVOICE_LINES	UNIQUE	NORMAL	VALID	INVOICE_ID,LINE_NO
PK_NOTIFICATIONS	NOTIFICATIONS	UNIQUE	NORMAL	VALID	ID
UQ_NOTIFICATIONS	NOTIFICATIONS	UNIQUE	NORMAL	VALID	TENANT_ID,KIND_CD,SENT_AT
PK_PLANS	PLANS	UNIQUE	NORMAL	VALID	ID
UQ_PLANS_CODE	PLANS	UNIQUE	NORMAL	VALID	CODE
PK_RATING_PERIODS	RATING_PERIODS	UNIQUE	NORMAL	VALID	ID
UQ_RATING_PERIODS	RATING_PERIODS	UNIQUE	NORMAL	VALID	TENANT_ID,PERIOD_START
PK_RATING_RESULTS	RATING_RESULTS	UNIQUE	NORMAL	VALID	ID
PK_SUBSCRIPTIONS	SUBSCRIPTIONS	UNIQUE	NORMAL	VALID	ID
PK_SUBSCRIPTIONS_HIST	SUBSCRIPTIONS_HIST	UNIQUE	NORMAL	VALID	HIST_ID
PK_TENANTS	TENANTS	UNIQUE	NORMAL	VALID	ID
UQ_TENANTS_NAME	TENANTS	UNIQUE	NORMAL	VALID	NAME
PK_USAGE_EVENTS	USAGE_EVENTS	UNIQUE	NORMAL	VALID	ID
