SRC	DST	KIND	MARK
BILLING_AUDIT_LOG	TRG_BILLING_AUDIT_LOG_ID	trg	FACT
CUSTOMER_MASTER	CUSTBILL batch chain	read	INFERRED
CUSTOMER_MASTER	TRG_CUSTOMER_MASTER_HIST	trg	FACT
CUSTOMER_MASTER	TRG_CUSTOMER_MASTER_SEQ	trg	FACT
ENTITY_ATTR_VALUE	TRG_ENTITY_ATTR_VALUE_SEQ	trg	FACT
INVOICES	DUNNING_ATTEMPTS	fk	FACT
INVOICES	INVOICE_LINES	fk	FACT
INVOICES	PKG_DUNNING	read	FACT
INVOICE_HEADER	CUSTBILL batch chain	read	INFERRED
INVOICE_LINE	CUSTBILL batch chain	read	INFERRED
JOB_NIGHTLY_DUNNING	PKG_DUNNING	call	FACT
JOB_PURGE_AUDIT_LOG	BILLING_AUDIT_LOG	write	FACT
PKG_DUNNING	DUNNING_ATTEMPTS	write	FACT
PKG_DUNNING	NOTIFICATIONS	write	FACT
PKG_DUNNING	SUBSCRIPTIONS	write	FACT
PKG_DUNNING	TENANTS	write	FACT
PKG_INVOICING	CREDIT_NOTES	write	FACT
PKG_INVOICING	INVOICES	write	FACT
PKG_INVOICING	INVOICE_LINES	write	FACT
PKG_OW_UTIL	BILLING_AUDIT_LOG	write	FACT
PKG_OW_UTIL	PKG_DUNNING	call	FACT
PKG_OW_UTIL	PKG_INVOICING	call	FACT
PKG_OW_UTIL	PKG_PLANS	call	FACT
PKG_OW_UTIL	PKG_RATING	call	FACT
PKG_PLANS	SUBSCRIPTIONS	write	FACT
PKG_RATING	PKG_INVOICING	call	FACT
PKG_RATING	RATING_PERIODS	write	FACT
PKG_RATING	RATING_RESULTS	write	FACT
PLANS	PKG_INVOICING	read	FACT
PLANS	PKG_PLANS	read	FACT
PLANS	PKG_RATING	read	FACT
PLANS	SUBSCRIPTIONS	fk	FACT
RATING_PERIODS	INVOICES	fk	FACT
RATING_PERIODS	RATING_RESULTS	fk	FACT
SUBSCRIPTIONS	PKG_INVOICING	read	FACT
SUBSCRIPTIONS	PKG_RATING	read	FACT
SUBSCRIPTIONS	RATING_RESULTS	fk	FACT
SUBSCRIPTIONS	TRG_SUBSCRIPTIONS_HIST	trg	FACT
SUBSCRIPTIONS	TRG_SUB_NO_UNCANCEL	trg	FACT
TENANTS	CREDIT_NOTES	fk	FACT
TENANTS	DUNNING_ATTEMPTS	fk	FACT
TENANTS	INVOICES	fk	FACT
TENANTS	NOTIFICATIONS	fk	FACT
TENANTS	PKG_INVOICING	read	FACT
TENANTS	PKG_PLANS	read	FACT
TENANTS	RATING_PERIODS	fk	FACT
TENANTS	SUBSCRIPTIONS	fk	FACT
TENANTS	USAGE_EVENTS	fk	FACT
TRG_CUSTOMER_MASTER_HIST	CUSTOMER_MASTER_HIST	write	FACT
TRG_SUBSCRIPTIONS_HIST	SUBSCRIPTIONS_HIST	write	FACT
USAGE_EVENTS	PKG_RATING	read	FACT
USAGE_EVENTS	TRG_USAGE_EVENTS_CHECK	trg	FACT
billing-service (app)	PKG_INVOICING	call	INFERRED
billing-service (app)	PKG_PLANS	call	INFERRED
billing-service (app)	PKG_RATING	call	INFERRED
