OBJECT_NAME	OBJECT_TYPE	STATUS	CREATED	LAST_DDL_TIME
PK_BILLING_AUDIT_LOG	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_CODES	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_CREDIT_NOTES	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_CUSTOMER_MASTER	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_CUSTOMER_MASTER_HIST	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_DUNNING_ATTEMPTS	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_ENTITY_ATTR_VALUE	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_INVOICES	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_INVOICE_HEADER	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_INVOICE_LINE	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_INVOICE_LINES	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_NOTIFICATIONS	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_PLANS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_RATING_PERIODS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_RATING_RESULTS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_SUBSCRIPTIONS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_SUBSCRIPTIONS_HIST	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PK_TENANTS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
PK_USAGE_EVENTS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
UQ_DUNNING_ATTEMPTS	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
UQ_INVOICE_LINES	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
UQ_NOTIFICATIONS	INDEX	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
UQ_PLANS_CODE	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
UQ_RATING_PERIODS	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
UQ_TENANTS_NAME	INDEX	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
JOB_NIGHTLY_DUNNING	JOB	VALID	2026-09-14 18:54:50	2026-09-14 18:54:50
JOB_PURGE_AUDIT_LOG	JOB	VALID	2026-09-14 18:54:50	2026-09-14 18:54:50
PKG_DUNNING	PACKAGE	VALID	2026-09-14 18:54:50	2026-09-14 18:54:50
PKG_INVOICING	PACKAGE	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
PKG_OW_UTIL	PACKAGE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PKG_PLANS	PACKAGE	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
PKG_RATING	PACKAGE	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
PKG_DUNNING	PACKAGE BODY	VALID	2026-09-14 18:54:50	2026-09-14 18:54:50
PKG_INVOICING	PACKAGE BODY	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
PKG_OW_UTIL	PACKAGE BODY	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
PKG_PLANS	PACKAGE BODY	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
PKG_RATING	PACKAGE BODY	VALID	2026-09-14 18:54:49	2026-09-14 18:54:49
SEQ_BILLING_AUDIT_LOG	SEQUENCE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
SEQ_CUSTOMER_MASTER	SEQUENCE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
SEQ_CUSTOMER_MASTER_HIST	SEQUENCE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
SEQ_ENTITY_ATTR_VALUE	SEQUENCE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
SEQ_SUBSCRIPTIONS_HIST	SEQUENCE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
BILLING_AUDIT_LOG	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 19:35:42
CODES	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
CREDIT_NOTES	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 19:35:42
CUSTOMER_MASTER	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
CUSTOMER_MASTER_HIST	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
DUNNING_ATTEMPTS	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 19:35:42
ENTITY_ATTR_VALUE	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
FIXTURE_META	TABLE	VALID	2026-09-14 18:54:50	2026-09-14 18:54:50
INVOICES	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
INVOICE_HEADER	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
INVOICE_LINE	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
INVOICE_LINES	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
NOTIFICATIONS	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 19:35:42
PLANS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 18:54:47
RATING_PERIODS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
RATING_RESULTS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
SUBSCRIPTIONS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
SUBSCRIPTIONS_HIST	TABLE	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TENANTS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 19:35:42
USAGE_EVENTS	TABLE	VALID	2026-09-14 18:54:47	2026-09-14 18:54:48
TRG_BILLING_AUDIT_LOG_ID	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_CUSTOMER_MASTER_HIST	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_CUSTOMER_MASTER_SEQ	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_ENTITY_ATTR_VALUE_SEQ	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_SUBSCRIPTIONS_HIST	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_SUB_NO_UNCANCEL	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
TRG_USAGE_EVENTS_CHECK	TRIGGER	VALID	2026-09-14 18:54:48	2026-09-14 18:54:48
