TABLE_NAME	CNT	SCN
BILLING_AUDIT_LOG	0	2149771
CODES	32	2149771
CREDIT_NOTES	5	2149771
CUSTOMER_MASTER	25000	2149771
CUSTOMER_MASTER_HIST	0	2149771
DUNNING_ATTEMPTS	1	2149771
ENTITY_ATTR_VALUE	8333	2149771
FIXTURE_META	1	2149771
INVOICES	3	2149771
INVOICE_HEADER	18750	2149771
INVOICE_LINE	150000	2149771
INVOICE_LINES	2	2149771
NOTIFICATIONS	1	2149771
PLANS	3	2149771
RATING_PERIODS	3	2149771
RATING_RESULTS	3	2149771
SUBSCRIPTIONS	69	2149771
SUBSCRIPTIONS_HIST	0	2149771
TENANTS	69	2149771
USAGE_EVENTS	814	2149771
