GRANTEE	PRIVILEGE	ADMIN_OPTION
C##DBZUSER	CREATE SEQUENCE	NO
C##DBZUSER	CREATE SESSION	NO
C##DBZUSER	CREATE TABLE	NO
C##DBZUSER	FLASHBACK ANY TABLE	NO
C##DBZUSER	LOCK ANY TABLE	NO
C##DBZUSER	LOGMINING	NO
C##DBZUSER	SELECT ANY TABLE	NO
C##DBZUSER	SELECT ANY TRANSACTION	NO
C##DBZUSER	SET CONTAINER	NO
OW_BILLING	CREATE JOB	NO
OW_BILLING	CREATE PROCEDURE	NO
OW_BILLING	CREATE SEQUENCE	NO
OW_BILLING	CREATE SESSION	NO
OW_BILLING	CREATE TABLE	NO
OW_BILLING	CREATE TRIGGER	NO
OW_BILLING	CREATE TYPE	NO
OW_BILLING	CREATE VIEW	NO
OW_BILLING_RO	CREATE SESSION	NO
OW_BILLING_RO	SELECT ANY DICTIONARY	NO
OW_BILLING_RO	SELECT ANY TABLE	NO
