OWNER	TABLE_NAME	LOG_GROUP_NAME	LOG_GROUP_TYPE	ALWAYS
OW_BILLING	BILLING_AUDIT_LOG	SYS_C008777	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	CREDIT_NOTES	SYS_C008774	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	DUNNING_ATTEMPTS	SYS_C008775	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	INVOICES	SYS_C008772	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	INVOICE_LINES	SYS_C008773	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	NOTIFICATIONS	SYS_C008776	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	RATING_PERIODS	SYS_C008770	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	RATING_RESULTS	SYS_C008771	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	SUBSCRIPTIONS	SYS_C008769	ALL COLUMN LOGGING	ALWAYS
OW_BILLING	TENANTS	SYS_C008768	ALL COLUMN LOGGING	ALWAYS
