TABLE_NAME	NUM_ROWS	LAST_ANALYZED	COLS	IDX	TRG
BILLING_AUDIT_LOG			4	1	1
CODES			3	1	0
CREDIT_NOTES			5	1	0
CUSTOMER_MASTER			155	1	2
CUSTOMER_MASTER_HIST			158	1	0
DUNNING_ATTEMPTS			6	2	0
ENTITY_ATTR_VALUE			7	1	1
FIXTURE_META			1	0	0
INVOICES			8	1	0
INVOICE_HEADER			9	1	0
INVOICE_LINE			20	1	0
INVOICE_LINES			6	2	0
NOTIFICATIONS			4	2	0
PLANS			7	2	0
RATING_PERIODS			4	2	0
RATING_RESULTS			9	1	0
SUBSCRIPTIONS			7	1	2
SUBSCRIPTIONS_HIST			10	1	0
TENANTS			4	2	0
USAGE_EVENTS			5	1	1
