HDR CUSTBILL EXTRACT NS=PROBE      FILE=001
C000000001NORMAL CO                     20240101000000010000USD01
C000000002PIPE|NAME CO                  20240101000000020000USD01
C000000003SHORTLINE
C000000004LONG CO                       20240101000000040000USD01XXTRAILINGJUNK
          NO CUST ID CO                 20240101000000050000USD01
C000000006BAD AMT CO                    20240101ABCDEFGHIJKLUSD01
C000000007BAD DATE CO                   20259999000000070000USD01
C000000008NO DATE CO                            000000080000USD01
C000000009RT03 CO                       20240101000000090000USD03
C000000010  LEADING SPACES CO           20240101000000100000USD01
C000000011NEG CO                        20240101-00000110000USD01
C000000012ODD AMT CO                    20240101000000000001usd1 

HDRFAKE001LOOKS LIKE A HEADER           20240101000000130000USD01
C000000014ACCENT é CO                   20240101000000140000USD01
TRL0000000015
