C000000001|NORMAL CO|2024-01-01|100.00|USD|01
C000000002|PIPE|NAME- C-O |202401.01|000000020000|USD|01
C000000003|SHORTLINE|--|0.00||
C000000004|LONG CO|2024-01-01|400.00|USD|01
|NO CUST ID CO|2024-01-01|500.00|USD|01
C000000006|BAD AMT CO|2024-01-01|0.00|USD|01
C000000007|BAD DATE CO|2025-99-99|700.00|USD|01
C000000008|NO DATE CO|    -  -  |800.00|USD|01
C000000009|RT03 CO|2024-01-01|900.00|USD|03
C000000010|  LEADING SPACES CO|2024-01-01|1000.00|USD|01
C000000011|NEG CO|2024-01-01|-1100.00|USD|01
C000000012|ODD AMT CO|2024-01-01|0.01|usd|1 
||--|0.00||
C000000014|ACCENT é CO|2024-01-01|1400.00|USD|01
